title,author,pages,genre,description,published_date,publisher,language,average_rating,ratings_count,thumbnail
Interactive Technologies and the Social Studies,Peter H. Martorella,148,Education,Provides a comprehensive guide to and analysis of the expanding role of technology in the social studies curriculum and classroom.,1997-01-01,SUNY Press,en,No rating,0,http://books.google.com/books/content?id=H7pHtX0damIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Impact of Disruptive Technologies on the Socio-Economic Development of Emerging Countries,"Mtenzi, Fredrick Japhet, Oreku, George S., Lupiana, Dennis M.",296,Social Science,"Global emergencies, such as the COVID-19 pandemic and environmental concerns, have challenged the readiness of societies and forced them to operate in more innovative ways. In response, the world has witnessed new technologies emerge and researchers continually finding better solutions to cope with these situations. It is crucial that these innovations are investigated so that we may better the world during times of crisis. Impact of Disruptive Technologies on the Socio-Economic Development of E...",2023-06-12,IGI Global,en,No rating,0,http://books.google.com/books/content?id=wbjFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Advances in Embedded and Fan-Out Wafer Level Packaging Technologies,"Beth Keser, Steffen Kröhnert",576,Technology & Engineering,"Examines the advantages of Embedded and FO-WLP technologies, potential application spaces, package structures available in the industry, process flows, and material challenges Embedded and fan-out wafer level packaging (FO-WLP) technologies have been developed across the industry over the past 15 years and have been in high volume manufacturing for nearly a decade. This book covers the advances that have been made in this new packaging technology and discusses the many benefits it provides to th...",2019-02-12,John Wiley & Sons,en,No rating,0,http://books.google.com/books/content?id=JzSCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Security, Design, and Architecture for Broadband and Wireless Network Technologies","Chilamkurti, Naveen",384,Technology & Engineering,"While wireless technologies continue to provide an array of new challenges and multi-domain applications for business processes and solutions, there still remains to be a comprehensive understanding of its various dimensions and environments. Security, Design, and Architecture for Broadband and Wireless Network Technologies provides a discussion on the latest research achievements in wireless networks and broadband technology. Highlighting new trends, applications, developments, and standards, t...",2013-04-30,IGI Global,en,No rating,0,http://books.google.com/books/content?id=BNCeBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Cultural Technologies,Göran Bolin,224,History,"Covering diverse themes such as intellectual property, media and architecture, satellite debris, server farms and search engines, art installations, surveillance, peer-to-peer file-sharing, the construction of techno-history and much more, this book discusses both the culture of technology that we live in today, and culture as technology.",2012,Routledge,en,No rating,0,http://books.google.com/books/content?id=f8lB5eT9dDYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Energy-Efficient Technologies for the Dismounted Soldier,"National Research Council, Division on Engineering and Physical Sciences, Commission on Engineering and Technical Systems, Committee on Electric Power for the Dismounted Soldier",286,Technology & Engineering,"This book documents electric power requirements for the dismounted soldier on future Army battlefields, describes advanced energy concepts, and provides an integrated assessment of technologies likely to affect limitations and needs in the future. It surveys technologies associated with both supply and demand including: energy sources and systems; low power electronics and design; communications, computers, displays, and sensors; and networks, protocols, and operations. Advanced concepts discuss...",1997-12-30,National Academies Press,en,No rating,0,http://books.google.com/books/content?id=bY9e90eJwZQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Potential Applicability of Assembled Chemical Weapons Assessment Technologies to RCRA Waste Streams and Contaminated Media,Unknown Author,88,Chemical agents (Munitions),No description available,2000,DIANE Publishing,en,No rating,0,http://books.google.com/books/content?id=uz6eHqY03oMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Reshaping Learning with Next Generation Educational Technologies,"Braman, James, Brown, Alexis, Richards, Mary Jo",263,Education,The traditional educational landscape often struggles to keep pace with the rapid advancements in technology and the evolving needs of both students and educators. This challenge has given rise to a crucial question; how can we effectively harness the full potential of next-generation educational technologies to shape a brighter future for education? A solution to this very question can be found within the pages ofReshaping Learning with Next Generation Educational Technologies. This book delves...,2024-05-06,IGI Global,en,No rating,0,http://books.google.com/books/content?id=P7kIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Role of Digital Technologies in Shaping the Post-Pandemic World,"Savvas Papagiannidis, Eleftherios Alamanos, Suraksha Gupta, Yogesh K. Dwivedi, Matti Mäntymäki, Ilias O. Pappas",504,Computers,"This book constitutes the refereed proceedings of the 21st IFIP WG 6.11 Conference on e-Business, e-Services, and e-Society, I3E 2022, which took place Newcastle-upon-Tyne, UK, in September 2022. The 37 papers presented in this volume were carefully reviewed and selected from 72 submissions. They were organized in topical sections as follows: Artificial intelligence; Data and Analytics; Careers and ICT; Digital Innovation and Transformation; Electronic Services; Health and Wellbeing; Pandemic; P...",2022-09-06,Springer Nature,en,No rating,0,http://books.google.com/books/content?id=znGHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Disruptive Logic Architectures and Technologies,"Pierre-Emmanuel Gaillardon, Ian O’Connor, Fabien Clermidy",192,Technology & Engineering,"This book discusses the opportunities offered by disruptive technologies to overcome the economical and physical limits currently faced by the electronics industry. It provides a new methodology for the fast evaluation of an emerging technology from an architectural prospective and discusses the implications from simple circuits to complex architectures. Several technologies are discussed, ranging from 3-D integration of devices (Phase Change Memories, Monolithic 3-D, Vertical NanoWires-based tr...",2012-04-24,Springer Science & Business Media,en,No rating,0,http://books.google.com/books/content?id=yX9U3wJ8c9EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Emerging Disruptive Technologies for Society 5.0 in Developing Countries,"Sara Arezki, Mariya Ouaissa, Mariyam Ouaissa, Moez Krichen, Anand Nayyar",250,Social Science,"This book offers an overview of the recent disruptives technologies and their application in the new Society 5.0 for better human life. The content provides researchers by new trends in blockchain, IA, and big data applied to several fields related to smart cities and Society 5.0 such as health care, education, finance, mobility, logistics, and quality of life. It is an opportunity for researchers and practitioners to present and discuss their most recent research results, innovations, experienc...",2025-03-24,Springer Nature,en,No rating,0,http://books.google.com/books/content?id=rwFREQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Simulation for Cyber-Physical Systems Engineering,"José L. Risco Martín, Saurabh Mittal, Tuncer Ören",453,Computers,"This comprehensive book examines a range of examples, prepared by a diverse group of academic and industry practitioners, which demonstrate how cloud-based simulation is being extensively used across many disciplines, including cyber-physical systems engineering. This book is a compendium of the state of the art in cloud-based simulation that instructors can use to inform the next generation. It highlights the underlying infrastructure, modeling paradigms, and simulation methodologies that can b...",2020-11-07,Springer Nature,en,No rating,0,http://books.google.com/books/content?id=6rAHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Technology Review,Unknown Author,788,Technology,No description available,1916,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=tUYLAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Economic and Social Implications of Information and Communication Technologies,"Bayar, Yilmaz, Karabetyan, Lina",334,Business & Economics,"Enormous developments have been made in the field of information and communication technologies (ICT) during the past four decades as ICT has spread rapidly in the world and become a significant part of daily life for economic units. ICT development and penetration are continuing to affect all aspects of societies and have led to significant changes in almost all disciplines such as education, environment, economics, management, energy, health, and medical care. Economic and Social Implications ...",2022-12-19,IGI Global,en,No rating,0,http://books.google.com/books/content?id=EqemEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Cutting Edge Research in Technologies,Constantin Volosencu,124,Technology & Engineering,"The book Cutting Edge Research in Technologies responds to the great interest for innovation in the large domain of technologies. It presents contributions by researchers with high expertise in the field, serving as a valuable reference for scientists, researchers, graduate students, and professionals. The book has five chapters covering the following subjects: information and communication technologies and services with the aim of improving the quality of life and the mobility of users, localis...",2015-10-21,BoD – Books on Demand,en,No rating,0,http://books.google.com/books/content?id=1mmQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Technologies to Lead Schools,"Gary Ivory, Dana Christman",147,Education,"In this book, we share perspectives on how education leaders can use computer technologies to enhance their effectiveness in working with other adults.",2019-07-31,Bloomsbury Publishing PLC,en,No rating,0,http://books.google.com/books/content?id=FlKeDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Technical Entrepreneurship,Unknown Author,304,Entrepreneurship,"Includes papers presented at the International Workshop on Technology Compendium for Small and Medium Sectors, 27th December 1994, New Delhi; focus chiefly on the Asian region.",1995,Allied Publishers,en,No rating,0,http://books.google.com/books/content?id=Mf1p87O-JtEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Statement of Disbursements of the House,United States. Congress. House,1124,Unknown Genre,Covers receipts and expenditures of appropriations and other funds.,1996,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=3jdOAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Proceedings of 4th 2024 International Conference on Autonomous Unmanned Systems (4th ICAUS 2024),"Lianqing Liu, Yifeng Niu, Wenxing Fu, Yi Qu",580,Technology & Engineering,"This book includes original, peer-reviewed research papers from the 4th ICAUS 2024, which provides a unique and engaging platform for scientists, engineers and practitioners from all over the world to present and share their most recent research results and innovative ideas. The 4th ICAUS 2024 aims to stimulate researchers working in areas relevant to intelligent unmanned systems. Topics covered include but are not limited to: Unmanned Aerial/Ground/Surface/Underwater Systems, Robotic, Autonomou...",2025-03-30,Springer Nature,en,No rating,0,http://books.google.com/books/content?id=qpdSEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Monthly Catalog of United States Government Publications,Unknown Author,1040,Government publications,No description available,Unknown,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=DqHtbPWMHZYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The AUPHA Manual of Health Services Management,"Robert J. Taylor, Susan B. Taylor",684,Medical,"With contributions from more than 30 authorities in the field, this reference covers topics varying from management techniques to strategic planning, To ownership and governance, To a department-by-department breakdown of health care facility support services.",1994,Jones & Bartlett Learning,en,No rating,0,http://books.google.com/books/content?id=brNVoVqLNjQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Plunkett's Infotech Industry Almanac 2006: The Only Complete Guide to the Technologies and Companies Changing the Way the World Thinks, Works and Shar",Jack W. Plunkett,685,Business & Economics,"Plunketts InfoTech Industry Almanac presents a complete analysis of the technology business, including the convergence of hardware, software, entertainment and telecommunications. This market research tool includes our analysis of the major trends affecting the industry, from the rebound of the global PC and server market, to consumer and enterprise software, to super computers, open systems such as Linux, web services and network equipment. In addition, we provide major statistical tables cover...",2006,"Plunkett Research, Ltd.",en,No rating,0,http://books.google.com/books/content?id=nNLuDKMGCUwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Systems Engineering Using the DEJI Systems Model®,Adedeji B. Badiru,294,Technology & Engineering,"While we need to work more with a systems approach, there are few books that provide systems engineering theory and applications. This book presents a comprehensive collection of systems engineering models. Each of the models is fully covered with guidelines of how and why to use them, along with case studies. Systems Engineering Using the DEJI Systems Model®: Evaluation, Justification, and Integration with Case Studies and Applications provides systems integration as a unifying platform for sys...",2022-08-29,CRC Press,en,No rating,0,http://books.google.com/books/content?id=tQR0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Network World,Unknown Author,52,Unknown Genre,"For more than 20 years, Network World has been the premier provider of information, intelligence and insight for network and IT executives responsible for the digital nervous systems of large organizations. Readers are responsible for designing, implementing and managing the voice, data and video systems their companies use to support everything from business critical applications to employee collaboration and electronic commerce.",1990-06-11,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=XB0EAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Teacher Education: Concepts, Methodologies, Tools, and Applications","Management Association, Information Resources",1699,Education,"Educators play a significant role in the intellectual and social development of children and young adults. Next-generation teachers can only be as strong as their own educational foundation which serves to cultivate their knowledge of the learning process, uncover best practices in the field of education, and employ leadership abilities that will inspire students of all ages. Teacher Education: Concepts, Methodologies, Tools, and Applications explores the current state of pre-service teacher pro...",2016-05-19,IGI Global,en,No rating,0,http://books.google.com/books/content?id=YY9JDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Information on Education Around the World,Unknown Author,390,Comparative education,No description available,1958,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=5E2r6hXaPRoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Green Technologies to Improve the Environment on Earth,Marquidia Pacheco,120,Technology & Engineering,"The aim of this book is to compile some of the green technologies applied to improve the environment on Earth. The success of these technologies is built from humility; from this ethical principle, the concept of honest broker is defined in this work. Some of the biggest environmental problems, such as soil pollution by heavy metals and pollution from the mining industry and massive coal plants, are also addressed. Additional subjects depicted here include geothermal energy, plasma technology, a...",2019-04-10,BoD – Books on Demand,en,No rating,0,http://books.google.com/books/content?id=_UP8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Supply Chain as Strategic Asset,Vivek Sehgal,319,Business & Economics,"Hands-on guidance for creating competitive advantages through strategy realization How can your supply chain create competitive advantages and help achieve business goals? Drawing from the author's abundant research and analysis, this resourceful book shows how aligning the supply chain design with business strategy helps build competitive capabilities, prioritize capital investments, and takes your firm beyond the industry best-practices to create competitive advantages, not just competitive pa...",2011-01-25,John Wiley & Sons,en,No rating,0,http://books.google.com/books/content?id=8TZpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Technical Abstract Bulletin,Unknown Author,232,Science,No description available,1980,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=7vQRAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Steps to Facilitate Principal-Investigator-Led Earth Science Missions,"National Research Council, Division on Engineering and Physical Sciences, Space Studies Board, Committee on Earth Studies",94,Science,"Principal-investigator (PI) Earth science missions are small, focused science projects involving relatively small spacecraft. The selected PI is responsible for the scientific and programmatic success of the entire project. A particular objective of PI-led missions has been to help develop university-based research capacity. Such missions, however, pose significant challenges that are beyond the capabilities of most universities to manage. To help NASA's Office of Earth Science determine how bes...",2004-05-21,National Academies Press,en,No rating,0,http://books.google.com/books/content?id=6f2bAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Digest of Education Statistics,Unknown Author,744,Education,"Contains information on a variety of subjects within the field of education statistics, including the number of schools and colleges, enrollments, teachers, graduates, educational attainment, finances, Federal funds for education, libraries, international education, and research and development.",2007,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=Q9dTCvnjyvEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Resources in Education,Unknown Author,Unknown,Education,No description available,1976,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=9UvO1-oHowMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Census and You,Unknown Author,160,United States,No description available,1990,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=PxnwAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
NASA Tech Briefs,Unknown Author,1454,Technology,No description available,1993,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=5KjBBgVOUjEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Resources in education,Unknown Author,344,Education,No description available,1986-08,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=JKzS4aQvbGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Office of Education Research Reports, 1956-65, ED 002 747-ED 003 960",Educational Research Information Center (U.S.).,718,Education,No description available,1967,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=AnP1AAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Functions of State Departments of Education,Fred Francis Beach,84,Education,No description available,1950,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=9mKrQo59_icC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Research in Education,Unknown Author,1262,Education,No description available,1974,Unknown Publisher,en,4,1,http://books.google.com/books/content?id=p_VrKpZdNd4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Report of the Departmental Committee on Education Rates Together with Appendices ...,Great Britain. Board of Education. Committee on education rates,230,Education,No description available,1907,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=ZHwPPwQvF2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Philippine Education Magazine,Unknown Author,936,Education,No description available,1906,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=lTDP9CC18bsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Annual Report of the Board of Education,Massachusetts. Department of Education,392,Education,No description available,1913,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=Kd7AImn73XcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Negative Economic Aspects of Higher Education,Caroline Mutuku,13,Social Science,"Seminar paper from the year 2018 in the subject Business economics - Economic and Social History, grade: 1, , language: English, abstract: Educational expansion is usually given paramount consideration in the modern society. It is the dream of every parent to ensure his child acquires higher education. This desire has led to an immense expansion higher education in the United States over the twentieth century. It is explicit that higher education bears a wide range of benefits to individuals, as...",2018-07-18,GRIN Verlag,en,No rating,0,http://books.google.com/books/content?id=1nVlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Handbook of Educational Psychology,"Patricia A. Alexander, PHILIP H WINNE",2419,Education,"Sponsored by Division 15 of APA, the second edition of this groundbreaking book has been expanded to 41 chapters that provide unparalleled coverage of this far-ranging field. Internationally recognized scholars contribute up-to-date reviews and critical syntheses of the following areas: foundations and the future of educational psychology, learners’ development, individual differences, cognition, motivation, content area teaching, socio-cultural perspectives on teaching and learning, teachers an...",2012-11-12,Routledge,en,No rating,0,http://books.google.com/books/content?id=bvnWs4KQs8YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Special Reports on Educational Subjects,Great Britain. Board of Education,204,Education,No description available,1910,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=e_Sv0iMiyqsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Directory of Resources for Cultural and Educational Exchanges and International Communication,Unknown Author,112,Educational exchanges,No description available,1979,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=EIGcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Focus on Educational Success,Unknown Author,290,Educational planning,No description available,1980,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=T0TZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Culturally Sensitive Research Methods for Educational Administration and Leadership,"Eugenie A. Samier, Eman S. ElKaleh",267,Education,"This book explores the multicultural and non-Western contexts behind the approaches, problems, and issues that arise in research methodologies when used in relation to educational administration and leadership. This volume argues that increasing internationalisation and diversity of the field requires research methods that better reflect the values, cultures, political systems, and conditions of non-Western communities and countries. Discussing the research methods, data collection practices, in...",2023-09-01,Taylor & Francis,en,No rating,0,http://books.google.com/books/content?id=AyynEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Emotional Dimensions of Educational Administration and Leadership,"Eugenie A. Samier, Michèle Schmidt",246,Education,"Exploring foundational theories for emotional dimensions of educational administration and leadership this collection covers a broad range of topics, such as ethics, personality, social justice, gender discrimination and organisational culture.",2009-05-07,Routledge,en,No rating,0,http://books.google.com/books/content?id=hvmMAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Educational Enactments in a Globalised World,Unknown Author,183,Education,"Acrylic oil, glue stick and layered canvas 1830 x 2075 (Collection of the artist).What does it mean to learn and educate in these social and historical times? This edited collection engages an international group of education thinkers in a series of ongoing intercultural conversations that speak to the challenges and possibilities of engaging with education, difference and diversity in a globalised world. Shifting across a range of geographical, theoretical, institutional and disciplinary contex...",2009-01-01,BRILL,en,No rating,0,http://books.google.com/books/content?id=lXwfEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Educational Alternatives in Latin America,"Robert Aman, Timothy Ireland",242,Education,"This book explores diverse contemporary paradigms of educational praxis and learning in Latin America, both formal and non-formal. Each contributor offers a unique perspective on the factors which lead to the production of paradigms rooted in ‘other’ logics, cosmologies, and realities, and how these factors may renegotiate and redefine concepts of education, learning, and knowledge. The various chapters provide a road map for scholars, activists, artists, students, organizations, and social move...",2019-04-16,Springer,en,No rating,0,http://books.google.com/books/content?id=bsiSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Special Educational Needs,"Ronald Gulliford, Graham Upton",189,Education,"The contributors focus on particular areas of special educational need, arguing that effective educational provision can be enhanced with reference to the particular problems experienced by children. Set in the context of a generic understanding of special education, this timely book addresses commonly-raised questions: what is the condition and how can I recognise it? why does it occur? what sort of educational, personal, and social consequences are there associated with it? are there any speci...",2002-09-11,Routledge,en,No rating,0,http://books.google.com/books/content?id=i0Ge7PyFBTIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Educational Innovations Beyond Technology,"Nancy Law, Allan Yuen, Robert Fox",253,Education,"The text explores the concept of innovation, and analyse and compare different dimensions of innovation found in the various case studies; the transfer of innovation and the mechanisms of change; on an innovative online case study database on education innovations that has been designed to be used by education practitioners to support organizational leadership, international collaboration and reflective practice in the Asia Pacific Economic Cooperation (APEC) eEducation Leadership initiative; on...",2011-01-15,Springer Science & Business Media,en,No rating,0,http://books.google.com/books/content?id=8OS5XS16YaEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Crossing Borders: An Exploration of Educational Technology in the U.S. and Poland,"DOROTA SIEMIENIECKA, BRONISŁAW SIEMIENIECKI, KERRY RICE, PHIL KELLY",11,Unknown Genre,"The monograph has an original, interesting and correct structure that includes a comparative analysis of selected aspects of traditional education in the context of historical and modern digital media education. The cognitively important results of empirical research on phenomena and processes present in the education of both countries, learning projects and teachers’ roles in contemporary education as well as their competencies in the use of digital media demonstrate the evolution of technology...",2016,Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika,en,No rating,0,http://books.google.com/books/content?id=A2lGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
American Educational History Journal,Paul J. Ramsey,416,Education,"The American Educational History Journal is a peer?reviewed, national research journal devoted to the examination of educational topics using perspectives from a variety of disciplines. The editors of AEHJ encourage communication between scholars from numerous disciplines, nationalities, institutions, and backgrounds. Authors come from a variety of disciplines including political science, curriculum, history, philosophy, teacher education, and educational leadership. Acceptance for publication i...",2013-08-01,IAP,en,No rating,0,http://books.google.com/books/content?id=xy24AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Educational Collateral Damage,Anton McLean,161,Education,"Why do disadvantaged students continue to get a poor deal as they progress through England’s education system? Challenging orthodox thinking about school exclusion, this book powerfully advocates for a fairer education system for disadvantaged students. It argues that the current conceptualisation of ‘exclusion’ – physically removing the student from the school – is insufficient. This approach fails to recognise the layers of exclusion that these students encounter. Students can be excluded with...",2024-04-11,Policy Press,en,No rating,0,http://books.google.com/books/content?id=dh7oEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"FUNDAMENTALS OF EDUCATIONAL ADMINISTRATION, MANAGEMENT AND ORGANIZATION"," Dr. Shauli Mukherjee, Dr. Prarthita Biswas, Mr. Pranay Pandey & Mr. MAM Sameem",341,Art,"Introduction Education is a complex process which involves different components such as pupils, teachers, employees, building, money, equipment, rules and regulations etc. All these components have to be managed properly in order to run the entire process smoothly. Educational Administration deals with all these components of education and integrates the different parts into a comprehensive whole for the smooth functioning of educational process. We all know that for any process to run, we need ...",2022-03-16,Ashok Yakkaldevi,en,No rating,0,http://books.google.com/books/content?id=ZpFkEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Proceedings of the Department of Superintendence of the National Educational Association ...,National Education Association of the United States. Department of Superintendence,128,Education,No description available,1899,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=qxGdvaR26sYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Educational Review,"Nicholas Murray Butler, Frank Pierrepont Graves, William McAndrew",590,Education,"Vols. 19-34 include ""Bibliography of education"" for 1899-1906, compiled by James I. Wyer and others.",1903,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=tcPNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
United States Statutes at Large,United States,1516,Law,No description available,1974,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=u9SDYHYzgNIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Religion and Politics in South Africa,"Abdulkader Tayob, Wolfram Weisse",182,Apartheid,No description available,Unknown,Waxmann Verlag,en,No rating,0,http://books.google.com/books/content?id=gCqUqcpWO0YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Misc,Unknown Author,616,Education,No description available,1960,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=jQi7J1E74_UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Southern Educational Review,Unknown Author,102,Education,No description available,1908,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=E_CgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Monthly Catalogue, United States Public Documents",Unknown Author,616,Government publications,No description available,1992-10,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=8VAUVdZFw-wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Journal of Education,Unknown Author,772,Education,No description available,1915,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=VScnAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Education,Unknown Author,754,Education,No description available,1911,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=2lc0d9rXYe8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Introduction to Tokelau,"Gilad James, PhD",73,Transportation,"Tokelau is a group of three small coral atolls located in the South Pacific. The population of this tiny island nation is just under 1,500 and has been isolated from the rest of the world for centuries. The people of Tokelau have a unique Polynesian identity and are connected to the ocean through their traditional ways of life, including fishing and navigating the waters. Due to their remote location and small population, the people of Tokelau face challenges such as limited economic opportuniti...",Unknown,Gilad James Mystery School,en,No rating,0,http://books.google.com/books/content?id=TtW_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Educational Charters and Documents 598 to 1909,Arthur Francis Leach,658,Education,No description available,1911,"Cambridge, U. P",en,No rating,0,http://books.google.com/books/content?id=0MComSSN3J4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Road to Sustained Growth in Jamaica,World Bank,226,Business & Economics,"Despite having a number of potential attributes (such as being English-speaking, having poverty levels below that of comparable countries and a reasonably well-educated labour force), Jamaicas economic history is marked by the paradoxes of low growth in GDP and high employment despite high investment and important achievements in poverty reduction. This publication seeks to examines these issues, and topics discussed include: poverty reduction and income inequality; whether Jamaicas GDP growth h...",2004,World Bank Publications,en,No rating,0,http://books.google.com/books/content?id=Dw5oyyPrafwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Research Awards Index,Unknown Author,1380,Medicine,No description available,1978,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=qvAgryq8wV8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
